Name,Count_-2_pre,Count_-6_pre,Count_-2_2,Count_-6_2,Count_-2_4,Count_-6_4,Count_-2_6,Count_-6_6,Count_-2_8,Count_-6_8,Count_-2_10,Count_-6_10,Mean_-2_pre,Mean_-6_pre,Mean_-2_2,Mean_-6_2,Mean_-2_4,Mean_-6_4,Mean_-2_6,Mean_-6_6,Mean_-2_8,Mean_-6_8,Mean_-2_10,Mean_-6_10,P_value_A_-2_pre_vs_-6_pre,P_value_A_-2_2_vs_-6_2,P_value_A_-2_4_vs_-6_4,P_value_A_-2_6_vs_-6_6,P_value_A_-2_8_vs_-6_8,P_value_A_-2_10_vs_-6_10,Flag_A_-2_pre_vs_-6_pre,Flag_A_-2_2_vs_-6_2,Flag_A_-2_4_vs_-6_4,Flag_A_-2_6_vs_-6_6,Flag_A_-2_8_vs_-6_8,Flag_A_-2_10_vs_-6_10
Unknown 024,3,3,3,3,2,3,3,3,3,3,3,3,19.8363143193595,19.799773911355,20.1313775049728,20.0219851883356,22.4886448782175,20.433785118747,20.3065527113485,23.9613126074635,22.0339851205357,19.5482035442219,21.8104033435476,21.2173414992324,0.966963494761091,0.901336908023951,0.0463232131945576,0.000352546637553577,0.0090976875861253,0.50356142069991,0,0,1,-1,1,0
Unknown 025,3,3,3,3,2,3,3,3,3,3,3,3,24.3985122259252,24.8861504021911,23.3168516829796,23.4992874583665,25.1371996106067,24.513734809213,22.720844423468,24.1384445237856,24.2918791652139,24.5200417063821,24.5950791371162,25.2235408401103,0.518010668920404,0.808159021151067,0.460409654796677,0.0688807625107028,0.761472766376692,0.406212680266068,0,0,0,0,0,0
Unknown 026,3,3,3,3,2,3,3,3,3,3,3,3,20.9711467430181,20.9131003628441,22.2878964363512,23.0881413063157,18.2448440238675,21.1282097855508,23.0793900622357,20.0569951039797,21.8152801181677,20.3795035354897,21.7516297935735,20.4087533952177,0.966162092910479,0.560121209203074,0.0693016480506328,0.0355655709675313,0.299794126199264,0.331442781280406,0,0,0,1,0,0
Unknown 027,3,3,3,3,2,3,3,3,3,3,3,3,23.025024289625,23.2479068227915,20.8354433993606,21.7692344766268,22.3345934362961,21.8441161626949,22.2492238511497,23.8106402408958,21.8334962500708,21.9608891426652,22.5233157467197,21.9756546595798,0.779880048194599,0.248230324677388,0.583191313004705,0.0596733275146176,0.87301293161908,0.494126505136972,0,0,0,0,0,0
Unknown 028,3,3,3,3,2,3,3,3,3,3,3,3,23.2525395386922,23.5047990037179,23.3844504021518,23.2699463528727,24.5469417456486,23.6134694012938,23.0819355172589,23.732743551695,24.3271737168712,23.5094258896241,23.7737048973991,23.4895337629643,0.5350063426736,0.777518894322985,0.0483963698370771,0.117802519316822,0.0528084075224047,0.485134606860349,0,0,1,0,0,0
Unknown 029,3,3,3,3,2,3,3,3,3,3,3,3,21.5164408573615,21.8652488448436,21.9500770580304,21.787013288464,22.6922378176967,21.2811885877212,21.2389760851905,21.9569190336877,22.061860113772,22.0318447527829,22.0367590729263,21.5764106695191,0.440019912487619,0.716723260381569,0.00920798547128449,0.119438802648528,0.946674976916255,0.310494693189729,0,0,1,0,0,0
Unknown 030,3,3,3,3,2,3,3,3,3,3,3,3,22.6287287915991,23.047760118365,22.8955858836067,23.2075902198935,23.5722359738019,22.7998146421764,22.4790671448787,22.8072798256716,23.2843890771476,22.7149061633114,22.7613748328214,22.6705804892287,0.33384505361424,0.469762046300052,0.117245464284652,0.447282083531247,0.192832226044052,0.832517238348902,0,0,0,0,0,0
Unknown 031,3,3,3,3,2,3,3,3,3,3,3,3,23.4260030955487,23.4880899952457,23.7310814984824,23.5018368054106,24.3190672163458,23.8137485256716,23.8964921079043,24.16280509572,24.0449945953277,24.2189546882539,24.596402387746,23.634744396763,0.861376390314203,0.520847820306667,0.211407206991626,0.456466942324072,0.625446422954986,0.0117962986348125,0,0,0,0,0,1
Unknown 032,3,3,3,3,2,3,3,3,3,3,3,3,23.7592393911478,23.4880899952458,23.6768888152589,23.4944725076386,24.3184361256627,23.8137485256716,23.6545412380512,24.16280509572,24.0449945953277,23.9212737594314,24.596402387746,23.634744396763,0.456545091684273,0.615261926668863,0.220027009417179,0.169140188266,0.732818587002359,0.0131933586751519,0,0,0,0,0,1
Unknown 033,3,3,3,3,2,3,3,3,3,3,3,3,21.9095613100554,22.1042429388014,21.8731078200318,21.6510437778435,22.4440116908997,22.1483936138645,21.6300407104871,22.2511198865483,22.6445648656697,21.5854287013367,22.0466393650498,21.5948741036728,0.58328691007395,0.531887739348486,0.45748231472413,0.0891084752179099,0.00599445114821036,0.209451983950723,0,0,0,0,1,0
Unknown 034,3,3,3,3,2,3,3,3,3,3,3,3,21.0531467614722,21.0078917264664,20.4758951985291,20.8862453552531,22.0055179165318,21.0276305035883,20.7149363337575,21.4928877248365,21.6541403217906,21.5025522675525,21.717933569745,21.2394585017213,0.950519339901274,0.574969783545848,0.237632268234707,0.292016925368659,0.835408444889539,0.513737915856459,0,0,0,0,0,0
Unknown 035,3,3,3,3,2,3,3,3,3,3,3,3,23.3684340464813,23.5880274803543,24.4634249603223,23.293395748182,25.4305394359888,23.5792464634392,24.7651791047462,24.6348308031203,24.0190940875373,23.5325280664343,23.4206566673271,23.9810187496893,0.810275531143154,0.208530901348288,0.0800563905853345,0.886635957066191,0.595681990080329,0.541543645192955,0,0,0,0,0,0
Unknown 036,3,3,3,3,2,3,3,3,3,3,3,3,26.7348339504485,27.1459401448136,26.4605091831015,26.8280070652863,27.2055518389071,25.6662816983986,27.8282056542525,26.3000393983311,26.0270580841076,26.5052402241737,26.9493249522862,25.9881764192315,0.694731950214908,0.725638544838354,0.19627065778869,0.153174044989922,0.648247155802301,0.362476812342067,0,0,0,0,0,0
Unknown 037,3,3,3,3,2,3,3,3,3,3,3,3,22.9418542743408,22.971343600776,23.1889428796435,22.863086513996,23.6053030135728,23.0716048461336,22.889197851315,23.6350709835295,23.7890002393476,23.2655305022976,23.3490348962997,22.9095293616847,0.943303110922861,0.435030453039259,0.256408670838575,0.0820248765129583,0.2145846833976,0.295020998141833,0,0,0,0,0,0
Unknown 038,3,3,3,3,2,3,3,3,3,3,3,3,22.0883331683741,22.425128907207,20.9699913452164,21.3067870840494,22.1942638409576,22.5310595797906,21.0512752278987,21.3880709667317,21.8241590561407,22.1609547949736,22.2628969226144,22.5996926614474,0.690912760318519,0.690912760318519,0.722017738088735,0.690912760318519,0.690912760318519,0.690912760318519,0,0,0,0,0,0
Unknown 039,3,3,3,3,2,3,3,3,3,3,3,3,22.5699238249534,22.448901777184,22.791375495809,22.7996404732174,23.4476351770552,22.7248417947538,22.9333806168136,23.2570664097455,23.8658799504744,22.8244071310741,23.0072152190675,22.9883756656279,0.770143485268544,0.984064777759722,0.127905691637954,0.437157063104596,0.0181254866503949,0.963687355173455,0,0,0,0,1,0
Unknown 040,3,3,3,3,2,3,3,3,3,3,3,3,21.2429808429251,22.9621765737866,21.3918901241413,22.1753165705114,20.2265363636612,18.3162724343185,20.05137240633,20.7359814987818,20.3749455121705,20.8839412664972,19.0998289357877,20.0279924304136,0.238535256335443,0.586657182121436,0.241356436710323,0.634448357240104,0.723411391770766,0.52003752930241,0,0,0,0,0,0
Unknown 041,3,3,3,3,2,3,3,3,3,3,3,3,24.9612625768482,24.884168765613,25.2899944864255,24.7785854544717,25.8236056865997,25.1986628999545,25.5133591189346,25.5215044087345,26.5112135130564,25.8402577497548,26.2187222512933,25.765965594307,0.770357002251679,0.0622949999954353,0.0430456807605416,0.975373134046038,0.0170933557342757,0.096180782759844,0,0,1,0,1,0
Unknown 042,3,3,3,3,2,3,3,3,3,3,3,3,25.7192985782536,24.6120598118779,24.4768990757805,24.7896223548806,25.7876200382586,24.6648691395794,24.8948498032108,25.4697289443522,25.5011414662828,24.7812620647109,25.2511366211611,24.957224568447,0.0806833337499616,0.610744750718162,0.111069743843469,0.352657613358932,0.24698273775784,0.632257558180719,0,0,0,0,0,0
Unknown 043,3,3,3,3,2,3,3,3,3,3,3,3,22.8474675602848,22.5676732679174,22.6689493758717,23.7661653301442,22.9425263776091,22.5235858079118,22.4012028829383,23.0617036273032,22.2394836530883,22.6397432892495,22.6977214692171,22.1233684669973,0.741592212892713,0.203528336253946,0.659076572017608,0.438816795482102,0.637550779262068,0.500120923977078,0,0,0,0,0,0
Unknown 044,3,3,3,3,2,3,3,3,3,3,3,3,20.973030184968,20.5804047212488,19.7126903200759,23.6444700428527,19.8242527519434,20.9906111128284,19.6628921745129,23.629705974055,20.6149615752606,20.2085821119357,19.9618015933214,20.1109663570649,0.748455287531051,0.00352928472097852,0.397401661769723,0.00329221078433527,0.739977189949421,0.902939381345858,0,-1,0,-1,0,0
Unknown 045,3,3,3,3,2,3,3,3,3,3,3,3,20.1146610855626,18.5387268649766,17.0426754701842,20.6793192952241,16.9010311583955,19.329795797306,21.5163878910254,19.9943334151431,21.1149861484009,17.4198603948252,17.9763358710012,21.0706127039085,0.329990933315978,0.0310873793198758,0.183345046597553,0.346457270385562,0.0287264330747267,0.0629611961837627,0,-1,0,0,1,0
Unknown 046,3,3,3,3,2,3,3,3,3,3,3,3,22.8161788472867,22.5837503788669,22.8385084095916,23.4014711640099,22.5650902082562,23.0161476791709,23.5753301313224,22.7065578669161,23.0625558302859,23.1567670508864,22.2363359164612,22.2573273370729,0.710034907630357,0.371338013725825,0.519965788497508,0.172772248708321,0.880054725542614,0.973171882098715,0,0,0,0,0,0
Unknown 047,3,3,3,3,2,3,3,3,3,3,3,3,21.2107735270019,22.0613876933,21.7893825794441,21.0422851902767,22.6161491220717,22.3503377469836,20.5764509313379,21.4011906399375,21.9433065435927,22.6926342563164,22.7411234803808,22.1516754670133,0.360524098876219,0.420948417366329,0.796591122256442,0.375057821115732,0.419582843944934,0.524341176438932,0,0,0,0,0,0
Unknown 048,3,3,3,3,2,3,3,3,3,3,3,3,20.5771633141226,20.4484637331896,20.8464200085422,21.2193677951485,21.6182903913924,21.8296345904458,21.521573114526,20.4451797711985,20.9406175081223,21.1033689491908,21.1195581131221,20.3933760707973,0.864623869212698,0.622095239183322,0.802338535348507,0.162791599112037,0.829331586624795,0.340767220458071,0,0,0,0,0,0
Unknown 049,3,3,3,3,2,3,3,3,3,3,3,3,23.0206194510192,22.899175174996,23.0434713703145,22.9220270942913,23.533011085515,23.4115668094918,23.3559437562195,23.2344994801963,23.7169312212559,23.5954869452326,23.5920384271124,23.4705941510891,0.712557889272762,0.712557889272746,0.741682293597678,0.712557889272746,0.71255788927273,0.71255788927273,0,0,0,0,0,0
Unknown 050,3,3,3,3,2,3,3,3,3,3,3,3,21.689520418792,21.3298823668109,21.4078585565203,21.0482205045392,22.0776950327419,21.7180569807607,22.1819076884595,21.8222696364784,21.3151947374741,20.9555566854929,21.1953421196037,20.8357040676225,0.668120050860242,0.668120050860239,0.701257818784161,0.668120050860239,0.668120050860239,0.668120050860239,0,0,0,0,0,0
Unknown 051,3,3,3,3,2,3,3,3,3,3,3,3,20.6380627399403,21.1175934478137,20.6096243363524,21.5285263532503,21.3714434616087,21.1832448413839,20.4975083471925,21.2921630281413,21.170197333831,20.7404263962595,20.8232115426714,21.1260090391141,0.332039553424394,0.0702017652269052,0.73112331837169,0.114175323082286,0.38368739293341,0.537667278485692,0,0,0,0,0,0
