Name,Count_-2_pre,Count_-6_pre,Count_-6_2,Count_-2_2,Count_-6_4,Count_-6_6,Count_-2_6,Count_-6_8,Count_-2_8,Count_-2_10,Count_-6_10,Mean_-2_pre,Mean_-6_pre,Mean_-6_2,Mean_-2_2,Mean_-6_4,Mean_-6_6,Mean_-2_6,Mean_-6_8,Mean_-2_8,Mean_-2_10,Mean_-6_10,P_value_A_-2_pre_vs_-6_pre,P_value_A_-6_2_vs_-2_2,P_value_A_-6_6_vs_-2_6,P_value_A_-6_8_vs_-2_8,P_value_A_-2_10_vs_-6_10,Flag_A_-2_pre_vs_-6_pre,Flag_A_-6_2_vs_-2_2,Flag_A_-6_6_vs_-2_6,Flag_A_-6_8_vs_-2_8,Flag_A_-2_10_vs_-6_10,,,,negaive means -6 is significantly larger
Unknown 008,3,1,3,3,3,1,3,3,3,3,3,21.99919798,21.66782664,22.77910411,22.12984767,22.02252602,22.43450722,22.37087227,22.49379631,22.69245143,22.79388455,22.43305488,0.445610319,0.04443063,0.882619605,0.516877191,0.245345468,0,1,0,0,0,,,,
Unknown 009,3,1,3,3,3,1,3,3,3,3,3,22.68302057,22.41050801,23.40410168,22.68193285,22.65658025,22.75865181,23.15018177,23.37358853,23.41349741,23.481413,23.01818152,0.50313181,0.019653296,0.339262233,0.889036604,0.117825848,0,1,0,0,0,,,,
Unknown 010,3,1,3,3,3,1,3,3,3,3,3,21.78192086,22.28926245,22.52928115,22.06133872,22.3064473,22.51468715,22.1992424,22.34613921,22.62752525,22.98254395,22.52274614,0.428018904,0.304172098,0.620249426,0.532758191,0.312420444,0,0,0,0,0,,,,
Unknown 011,3,1,3,3,3,1,3,3,3,3,3,21.64663335,22.02792857,22.81519101,21.91054247,22.13981335,22.08046692,22.22857969,22.26683036,22.52986644,22.45427001,22.1106612,0.423158458,0.013170837,0.753864967,0.434364466,0.310060889,0,1,0,0,0,,,,
Unknown 012,3,1,3,3,3,1,3,3,3,3,3,21.64663335,22.02792857,22.81519101,21.91054247,22.13981335,22.08046692,22.22857969,22.26683036,22.52986644,22.45427001,22.1106612,0.423158458,0.013170837,0.753864967,0.434364466,0.310060889,0,1,0,0,0,,,,
Unknown 013,3,1,3,3,3,1,3,3,3,3,3,20.85238049,22.67541412,21.5218673,21.2621347,18.69259964,22.37827065,20.58414438,21.60827335,20.96959207,21.59987469,20.86375465,0.233235238,0.806526503,0.240438852,0.548727927,0.490190299,0,0,0,0,0,,,,
Unknown 014,3,1,3,3,3,1,3,3,3,3,3,23.73792266,22.35773642,24.04250854,23.33670414,23.7149819,24.68545347,23.53536519,25.13724678,24.37184751,25.39167562,24.13053897,0.323992348,0.472775202,0.409202558,0.436803825,0.206537314,0,0,0,0,0,,,,
Unknown 015,3,1,3,3,3,1,3,3,3,3,3,23.70047298,23.68442013,24.41312108,23.33619989,23.4576382,23.69016558,23.66302093,24.4919806,24.090128,24.27095153,23.38540594,0.980765851,0.032339132,0.967482274,0.398185671,0.072591543,0,1,0,0,0,,,,
Unknown 016,3,1,3,3,3,1,3,3,3,3,3,21.12806061,20.78256985,21.37637376,20.93817388,21.11097161,21.72803409,21.4195813,21.75599642,21.60668458,22.03477832,21.47943031,0.370562457,0.116841465,0.422982788,0.581513989,0.051311389,0,0,0,0,0,,,,
Unknown 017,3,1,3,3,3,1,3,3,3,3,3,22.45302557,22.30402894,22.51907266,22.66806929,22.50851217,22.65377549,22.80277212,23.00011087,23.14910749,23.05048093,22.9014843,0.874428688,0.823211004,0.874428688,0.823211004,0.823211004,0,0,0,0,0,,,,
Unknown 018,3,1,3,3,3,1,3,3,3,3,3,22.60618295,22.8675068,23.09892373,22.55912967,22.63289293,23.16107527,22.59456197,22.62155952,22.76200407,22.72457017,22.85882047,0.541061257,0.085416269,0.193528297,0.641510999,0.656196522,0,0,0,0,0,,,,
Unknown 019,3,1,3,3,3,1,3,3,3,3,3,22.71392314,22.88846775,23.05439557,22.13344619,22.4069434,22.38983756,22.21239604,22.2739673,22.35863871,22.75060305,22.62161397,0.646508954,0.002670715,0.641084807,0.752667148,0.631815235,0,1,0,0,0,,,,
Unknown 020,3,1,3,3,3,1,3,3,3,3,3,23.24801583,24.1418959,24.97881204,24.08493197,23.55274766,23.9842319,23.09035183,23.73217238,22.8382923,22.72883161,23.62271168,0.409066469,0.24745639,0.409066469,0.24745639,0.24745639,0,0,0,0,0,,,,
Unknown 021,3,1,3,3,3,1,3,3,3,3,3,23.33417248,24.3232251,24.76098514,24.51464408,24.55905197,24.46096028,24.59111796,25.12203769,24.77324724,25.29252658,24.92658174,0.151132996,0.603878742,0.845800443,0.464279454,0.442945405,0,0,0,0,0,,,,
Unknown 022,3,1,3,3,3,1,3,3,3,3,3,19.33259911,20.43990024,20.00769752,18.90039639,21.17967328,20.23385729,19.12655616,20.7057308,19.59842968,19.82237556,20.92967669,0.499876827,0.343072945,0.499876827,0.343072945,0.343072945,0,0,0,0,0,,,,
Unknown 023,3,1,3,3,3,1,3,3,3,3,3,18.89965242,20.00176423,20.66310007,19.56098826,20.80439312,20.18156228,19.07945047,20.75766165,19.65554984,19.9984154,21.10052721,0.594138281,0.452915294,0.594138281,0.452915294,0.452915294,0,0,0,0,0,,,,
Unknown 024,3,1,3,3,3,1,3,3,3,3,3,22.00697906,22.93812147,23.62197257,23.26259426,22.32520612,20.38758631,23.93247045,24.23428285,24.6333371,24.69027061,24.16793572,0.430796383,0.665246038,0.006623503,0.631117858,0.530636992,0,0,-1,0,0,,,,
Unknown 025,3,1,3,3,3,1,3,3,3,3,3,22.29100626,22.55990709,22.57563198,22.30673115,22.32783716,22.46983754,22.20093671,22.82589637,22.55699554,22.14280465,22.41170548,0.81058109,0.734852497,0.81058109,0.734852497,0.734852497,0,0,0,0,0,,,,
Unknown 026,3,1,3,3,3,1,3,3,3,3,3,22.79184573,22.60949103,22.69234551,22.87470021,23.36523804,23.05310614,23.23546084,23.2874524,23.4698071,23.80843941,23.6260847,0.81710495,0.743805997,0.81710495,0.743805997,0.743805997,0,0,0,0,0,,,,
Unknown 027,3,1,3,3,3,1,3,3,3,3,3,21.13974473,22.32374587,22.30829353,20.29360456,21.92576289,22.94266871,20.86583435,21.62073877,21.727315,20.72195554,23.15624135,0.474050306,0.095452229,0.215890234,0.926864578,0.047585408,0,0,0,0,-1,,,,
