Name,Count_-2_T0,Count_-6_6,Count_-6_4,Count_-2_4,Count_-2_10,Count_-6_8,Count_-2_8,Count_-6_T0,Count_-2_2,Count_-6_2,Count_-2_6,Count_-6_10,Mean_-2_T0,Mean_-6_6,Mean_-6_4,Mean_-2_4,Mean_-2_10,Mean_-6_8,Mean_-2_8,Mean_-6_T0,Mean_-2_2,Mean_-6_2,Mean_-2_6,Mean_-6_10,P_value_A_-2_T0_vs_-6_T0,P_value_A_-6_6_vs_-2_6,P_value_A_-6_4_vs_-2_4,P_value_A_-2_10_vs_-6_10,P_value_A_-6_8_vs_-2_8,P_value_A_-2_2_vs_-6_2,Flag_A_-2_T0_vs_-6_T0,Flag_A_-6_6_vs_-2_6,Flag_A_-6_4_vs_-2_4,Flag_A_-2_10_vs_-6_10,Flag_A_-6_8_vs_-2_8,Flag_A_-2_2_vs_-6_2
PE(16:1/17:1),3,3,3,3,3,3,3,3,3,3,3,3,22.6922504556416,22.6073439840556,22.5243734536953,22.717271003933,22.8921998059985,22.6279468472074,22.8208443974452,22.4993529054038,22.830673073529,22.6377755232913,22.8002415342934,22.6993022557608,0.186288510064999,0.186288510064999,0.186288510064999,0.186288510064999,0.186288510064999,0.186288510064999,0,0,0,0,0,0
PE(16:1/18:1),3,3,3,3,3,3,3,3,3,3,3,3,25.7185231307152,25.3183628822478,25.2985636070467,25.3273660721043,25.4133717881068,25.4088243737732,25.2417756282502,25.3390454058651,25.3485404732067,25.4900738139338,25.327646235222,25.5882021660019,0.0166901839703414,0.950331655595367,0.846807871524518,0.247455698760876,0.268546863231879,0.346798234965082,1,0,0,0,0,0
PE(17:0/17:1),3,3,3,3,3,3,3,3,3,3,3,3,22.417358713522,22.3368569547598,22.1001407901223,22.0547968907212,22.2779890221613,22.2292737943147,22.2865946028701,22.3876793842576,22.2275610937622,22.1374583052774,22.0464741768973,22.0120698433731,0.891560381057093,0.190218863919402,0.83504976765342,0.228963486368927,0.792428838722849,0.679449933781342,0,0,0,0,0,0
PE(17:1/17:1),3,3,3,3,3,3,3,3,3,3,3,3,23.1837910967627,22.8969778879263,22.8086506966326,22.8975243046177,22.9680950167172,22.9369819426822,23.0258555506673,23.0949174887776,23.0899554500434,23.0010818420583,22.9858514959114,22.8792214087321,0.700534296527317,0.700534296527317,0.700534296527329,0.70053429652734,0.700534296527329,0.700534296527317,0,0,0,0,0,0
PE(18:1/18:1),3,3,3,3,3,3,3,3,3,3,3,3,25.4255818069986,25.3296396977803,25.4632106394163,25.3635579514786,25.2545942203953,25.5367438988503,25.3420548987545,25.3570641457138,25.2858965288903,25.2688062650213,25.4760773468006,25.552627996455,0.766539574695814,0.527090285828496,0.666198018331911,0.20386706639581,0.401948422038964,0.940913829852853,0,0,0,0,0,0
PE(18:1/18:2),3,3,3,3,3,3,3,3,3,3,3,3,22.55703629588,22.5372270617999,22.6719846373395,22.6330823427137,22.47770960057,22.6243946332347,22.5854923386088,22.5959385905059,22.4014316118917,22.4403339065176,22.4983247671741,22.5166118951959,0.885300588579402,0.885300588579402,0.885300588579402,0.885300588579402,0.885300588579402,0.885300588579402,0,0,0,0,0,0
PE(30:1),3,3,3,3,3,3,3,3,3,3,3,3,23.1838256706243,22.9495362328693,22.9866226900277,23.1834465223707,23.1780229097129,23.1750337187483,23.1762125526572,23.0019411484307,23.0081244503669,23.1211455965933,23.3220472421794,23.2459031966761,0.386340734548122,0.0832992661084168,0.349187204375593,0.744787582173012,0.995484435345412,0.588562377596775,0,0,0,0,0,0
PE(33:2),3,3,3,3,3,3,3,3,3,3,3,3,23.9541091863762,23.8910885491187,23.8240921050476,23.9417043386128,24.0811198593554,23.9379443385708,24.055556572136,23.836496952811,24.0267038055997,23.9090915720346,24.0087007826839,23.9635076257902,0.536400741557213,0.536400741557213,0.536400741557213,0.536400741557213,0.536400741557213,0.536400741557213,0,0,0,0,0,0
PE(34:1),3,3,3,3,3,3,3,3,3,3,3,3,23.1375528289885,23.2415986845586,23.0383743215505,22.9658636708806,23.1013782827387,23.222440921031,23.1499302703611,23.2100634796584,23.0701535297906,23.1426641804605,23.1690880338887,23.1738889334086,0.631859176656478,0.631859176656478,0.631859176656478,0.631859176656478,0.631859176656478,0.631859176656478,0,0,0,0,0,0
PE(35:1),3,3,3,3,3,3,3,3,3,3,3,3,21.4174341341463,21.3650249716835,21.4747979388123,21.4771745699104,21.4342683249325,21.5768800731089,21.5792567042071,21.4150575030482,21.5003371277029,21.4979604966047,21.3674016027816,21.4318916938343,0.992407237686007,0.992407237686007,0.992407237685996,0.992407237685984,0.992407237685996,0.992407237686007,0,0,0,0,0,0
