Name,Count_-6_pre,Count_-2_pre,Count_-6_2,Count_-2_2,Count_-2_4,Count_-6_4,Count_-6_6,Count_-2_6,Count_-6_8,Count_-2_8,Count_-2_10,Count_-6_10,Mean_-6_pre,Mean_-2_pre,Mean_-6_2,Mean_-2_2,Mean_-2_4,Mean_-6_4,Mean_-6_6,Mean_-2_6,Mean_-6_8,Mean_-2_8,Mean_-2_10,Mean_-6_10,P_value_A_-6_pre_vs_-2_pre,P_value_A_-6_2_vs_-2_2,P_value_A_-2_4_vs_-6_4,P_value_A_-6_6_vs_-2_6,P_value_A_-6_8_vs_-2_8,P_value_A_-2_10_vs_-6_10,Flag_A_-6_pre_vs_-2_pre,Flag_A_-6_2_vs_-2_2,Flag_A_-2_4_vs_-6_4,Flag_A_-6_6_vs_-2_6,Flag_A_-6_8_vs_-2_8,Flag_A_-2_10_vs_-6_10,,,,Negaive means -6 is significantly larger
Unknown 033,3,3,3,3,3,3,3,3,3,3,3,3,23.36701889,23.60941507,23.23249418,23.47489036,23.64253024,23.40013406,23.77483161,24.0172278,22.83300053,23.07539671,23.24438641,23.00199023,0.82526584,0.82526584,0.82526584,0.82526584,0.82526584,0.82526584,0,0,0,0,0,0,,,,
Unknown 034,3,3,3,3,3,3,3,3,3,3,3,3,23.53879183,21.15598453,22.0089137,21.74024923,22.84525669,22.1644218,22.52526131,21.22068508,22.78793242,21.49590095,22.26685661,23.79397272,0.078226951,0.837432446,0.603968274,0.323894488,0.328474764,0.249958214,0,0,0,0,0,0,,,,
Unknown 035,3,3,3,3,3,3,3,3,3,3,3,3,21.70698954,21.96205865,21.86481432,21.53249287,22.0920212,22.20232465,22.9296573,21.91593214,22.36625602,21.74265764,22.11682706,22.14297738,0.657856714,0.564496799,0.847865301,0.087365783,0.283800593,0.963710276,0,0,0,0,0,0,,,,
Unknown 036,3,3,3,3,3,3,3,3,3,3,3,3,19.70784695,21.33656285,22.77338152,20.06867692,17.82022152,21.83012515,17.78040249,20.94665203,21.44313994,22.18859137,23.58639037,21.4922909,0.335825684,0.115947786,0.023558914,0.068248051,0.657089207,0.218799553,0,0,-1,0,0,0,,,,
Unknown 037,3,3,3,3,3,3,3,3,3,3,3,3,19.93178422,21.74869379,23.1457291,20.47912421,17.9816225,22.21464387,17.93437107,21.42682895,21.69011632,22.61405586,23.73387614,21.87588682,0.302139845,0.134781999,0.021628776,0.053907299,0.596718952,0.291585611,0,0,-1,0,0,0,,,,
Unknown 038,3,3,3,3,3,3,3,3,3,3,3,3,19.78905475,20.74414652,20.74050002,20.67755129,22.31856866,20.3720886,20.6612937,20.34842758,19.38277216,20.60684372,20.01669004,20.23247609,0.444870693,0.959592079,0.126487736,0.801308455,0.329397398,0.862157251,0,0,0,0,0,0,,,,
Unknown 039,3,3,3,3,3,3,3,3,3,3,3,3,23.94196835,24.37872683,22.8094985,23.87916974,24.65930901,23.26727949,23.6974533,22.99119662,23.9237369,23.30659647,23.71280793,23.99475653,0.539006524,0.139987256,0.058525716,0.323603206,0.387248814,0.691002195,0,0,0,0,0,0,,,,
Unknown 040,3,3,3,3,3,3,3,3,3,3,3,3,23.53650774,23.36443068,22.94971558,23.26476221,24.07679421,24.15226847,23.92477227,23.02348761,24.21215606,23.53717349,24.14081947,23.49519159,0.699381284,0.481189635,0.865334878,0.051761479,0.138353963,0.155540081,0,0,0,0,0,0,,,,
Unknown 041,3,3,3,3,3,3,3,3,3,3,3,3,28.91322697,28.47203805,28.04260171,28.56838873,29.0929961,29.25331066,28.97165864,28.32681483,29.18593831,28.5018912,29.24092915,28.75733907,0.18516958,0.11706244,0.624615153,0.057646732,0.044993645,0.14787522,0,0,0,0,1,0,,,,
Unknown 042,3,3,3,3,3,3,3,3,3,3,3,3,22.67678873,22.25787763,24.15787852,21.89672268,21.85083234,23.42638023,22.11751554,22.72197016,23.22313331,21.55818083,21.63930467,22.38855664,0.597526565,0.008082357,0.055527881,0.447615956,0.043932103,0.348106078,0,1,0,0,1,0,,,,
