Name,Count_-2_T0,Count_-6_6,Count_-6_4,Count_-2_4,Count_-2_10,Count_-6_8,Count_-2_8,Count_-6_T0,Count_-2_2,Count_-6_2,Count_-2_6,Count_-6_10,Mean_-2_T0,Mean_-6_6,Mean_-6_4,Mean_-2_4,Mean_-2_10,Mean_-6_8,Mean_-2_8,Mean_-6_T0,Mean_-2_2,Mean_-6_2,Mean_-2_6,Mean_-6_10,P_value_A_-2_T0_vs_-6_T0,P_value_A_-6_6_vs_-2_6,P_value_A_-6_4_vs_-2_4,P_value_A_-2_10_vs_-6_10,P_value_A_-6_8_vs_-2_8,P_value_A_-2_2_vs_-6_2,Flag_A_-2_T0_vs_-6_T0,Flag_A_-6_6_vs_-2_6,Flag_A_-6_4_vs_-2_4,Flag_A_-2_10_vs_-6_10,Flag_A_-6_8_vs_-2_8,Flag_A_-2_2_vs_-6_2
Cer(d18:1/24:1(2OH)),3,3,3,3,3,3,3,3,3,3,3,3,24.7211412463863,24.599923427441,24.8078352144461,24.8849108224369,24.5238879645668,24.8439042524393,24.9209798604301,24.6440656383955,24.8309276720791,24.7538520640884,24.6769990354318,24.446812356576,0.775016487651818,0.775016487651838,0.775016487651838,0.775016487651818,0.775016487651838,0.775016487651838,0,0,0,0,0,0
Cer(d18:1/26:1(2OH)),3,3,3,3,3,3,3,3,3,3,3,3,23.9448409565815,23.9461036524186,23.7469715067765,24.0976496920208,24.0808401978035,24.0219276904182,24.1487532723945,23.728707751639,24.1950803269409,24.0883882889793,24.1541333880397,23.3900037335522,0.460576320958324,0.477374459547598,0.235513409886257,0.0246666842679667,0.6638288541632,0.71447796507875,0,0,0,1,0,0
Cer(d18:2/24:1),3,3,3,3,3,3,3,3,3,3,3,3,22.324990619438,22.3616398347573,22.2728808465729,22.138538859745,22.3695183833371,22.3589456670472,22.1125062232749,22.0492436859967,22.614340918874,22.3243572071185,22.3476980113249,21.8907610978873,0.43139290679265,0.968058806545949,0.70005183094392,0.177443352308361,0.481365483597216,0.408314108323085,0,0,0,0,0,0
Cer(d20:0/16:0(2OH));Cer(d18:0/18:0(2OH)),3,3,3,3,3,3,3,3,3,3,3,3,23.8421126063963,23.644797824295,23.6308259684208,23.6354665901175,23.7578347713782,23.7316377687503,23.7362783904471,23.8374719846995,23.6459994558909,23.6413588341941,23.6494384459918,23.7531941496814,0.985657958107482,0.985657958107493,0.985657958107482,0.985657958107493,0.985657958107482,0.985657958107493,0,0,0,0,0,0
Cer(d20:0/18:0(2OH)),3,3,3,3,3,3,3,3,3,3,3,3,23.5351237370676,23.5347007623323,23.4085819655532,23.3271506276584,23.7914729751119,23.5104741657901,23.4786665470488,23.6334928880961,23.333463987751,23.0940790913035,23.1521172248641,23.3149555094991,0.768223057517764,0.257766116469904,0.807209636465475,0.161708892142752,0.924021189267663,0.475258365283833,0,0,0,0,0,0
CoQ10,3,3,3,3,3,3,3,3,3,3,3,3,21.2877091733684,21.3622125342298,21.3243900772295,21.3441624711976,21.3644770803075,21.4659762012095,21.4857485951776,21.2679367794003,21.3161653436612,21.2963929496931,21.3819849281979,21.3447046863393,0.923544864105969,0.923544864105969,0.923544864105969,0.923544864105969,0.923544864105969,0.923544864105969,0,0,0,0,0,0
DG(18:2/0:0/18:2),3,3,3,3,3,3,3,3,3,3,3,3,22.6516698125892,23.0132305918348,23.0822847863576,22.6353380157127,22.6779177447198,23.2709695425075,22.8240227718627,23.098616583234,22.5206256150558,22.9675723857006,22.5662838211899,23.1248645153647,0.122484050023222,0.122484050023225,0.122484050023225,0.122484050023225,0.122484050023225,0.122484050023222,0,0,0,0,0,0
DG(18:2/18:3/0:0),3,3,3,3,3,3,3,3,3,3,3,3,21.4968938532773,21.9124714331778,22.3664776005929,21.774156846358,21.4400441067737,21.716476310902,21.1241555566671,22.0892146075122,21.33808425949,21.930405013725,21.3201506789429,22.0323648610086,0.132968606037568,0.132968606037566,0.132968606037568,0.132968606037564,0.132968606037566,0.132968606037564,0,0,0,0,0,0
DGDG(14:0/16:1),3,3,3,3,3,3,3,3,3,3,3,3,18.7775817639163,16.1642878574597,16.4433248571277,16.8594835905527,16.4720151337442,15.9726835031753,16.3888422366003,18.3614230304913,16.6242027272744,16.2080439938494,16.5804465908847,16.0558564003192,0.364943281708385,0.364943281708385,0.364943281708385,0.364943281708385,0.364943281708383,0.364943281708385,0,0,0,0,0,0
DGDG(16:0/18:1),3,3,3,3,3,3,3,3,3,3,3,3,20.261040483529,19.8920829396931,19.7901073432887,19.7641172104473,20.1273195274789,20.2055475404069,20.1795574075655,20.2870306163704,20.1362601140756,20.162250246917,19.8660928068517,20.1533096603202,0.951626969263707,0.951626969263707,0.951626969263707,0.951626969263707,0.951626969263707,0.951626969263707,0,0,0,0,0,0
